Number of customers is: 9
SLMS 1: 76 14.89 0.00
SLMS 3: 35 0.67 0.00
SLMS 5: 31 0.00 0.00
MLMS 1: 76 14.89 0.00
MLMS 3: 45 1.78 0.00
MLMS 5: 31 0.00 0.00
MLMSBLL 1: 76 14.89 0.00
MLMSBLL 3: 35 0.67 0.00
MLMSBLL 5: 31 0.00 0.00
MLMSBWT 1: 76 14.89 0.00
MLMSBWT 3: 35 0.67 0.00
MLMSBWT 5: 31 0.00 0.00
